=== Sheet: Common ===
 | Mã ibom | Mô tả | Mã sản phẩm | Nhãn hiệu | Đơn vị | Ghi chú | Làm rõ logic |  | 
 | MCT_1600-5_CL.1_15VA | MCT đúc, chữ nhật, 1600/5, CL.1-15VA |  | OMEGA | cái | Loại đúc, chữ nhật |  |  | 
 | PCT_1600-5_CL.5P10_15VA | PCT đúc, chữ nhật, 1600/5, CL.5P10-15VA |  | OMEGA | cái | Loại đúc, chữ nhật |  |  | 
 | PCT_1600-5_CL.5P10_15VA | PCT đúc, có đế, 1600/5, CL.5P10-15VA |  | OMEGA | cái | Loại đúc, có đế |  |  | 
 | KBM-05-1000 | MCT 1000/5A CL.1 40VA, loại lắp cho thanh cái | KBM-05-1000 | LIGHTSTAR | cái |  |  |  | 
 | KBM-05R-1000 | PCT 1000/5A CL.5P10 5VA, loại lắp cho thanh cái | KBM-05R-1000 | LIGHTSTAR | cái |  |  |  | 
 | KBF-43 | Biến dòng đo lường MCT 300/5A CL.1 5VA 20x30 3P4W 3CT | KBF-43 | LIGHTSTAR | cái |  | Có option lựa chọn MCT dạng lắp trên bus bar hay dạng luồn cáp
Điều kiện tiên quyết: "bảo vệ chạm đất"<>0---->Khối lượng dựa vào dòng định mức CB tổng, ví dụ CB 250A sẽ lựa chọn MCT 250/5 3 cái & PCT 250/A 4 cái |  | 
 | KBM-34R | Biến dòng bảo vệ PCT 300/5A CL.5P10 2.5VA 32x12 | KBM-34R | LIGHTSTAR | cái |  |  |  | 
 | KBF-23-250/5-3MCT | Biến dòng đo lường MCT 250/5A CL.1 5VA 21x10 3P4W 3CT | KBF-23-250/5-3MCT | LIGHTSTAR | cái |  |  |  | 
 | KBJ-04R-250/5-1PCT | Biến dòng bảo vệ PCT 250/5A CL.5P10 2.5VA Ø40 | KBJ-04R-250/5-1PCT | LIGHTSTAR | cái |  |  |  | 
 | TD-20x8 | Bus 20x8 | #REF! | Asia | m |  | Chỉ hiển thị khi chọn CB tổng tương ứng, quy ước xem sheet busbar; số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | #REF! | #REF! | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | #REF! | #REF! | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | #REF! | #REF! | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | #REF! | #REF! | Asia | m |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 | TD-25x5 | Bus 25x5 |  | Asia | m |  | Chỉ hiển thị khi chọn CB tổng tương ứng, quy ước xem sheet busbar; số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 25x5 đỏ |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 25x5 vàng |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 25x5 xanh dương |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 25x5 đen |  | Asia | m |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 | TD-30x5 | Bus 30x5 | Bus-30x5 | Asia | m |  | Chỉ hiển thị khi chọn CB tổng tương ứng, quy ước xem sheet busbar; số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 30x5 đỏ | CN-30x5-DO | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 30x5 vàng | CN-30x5-V | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 30x5 xanh dương | CN-30x5-XD | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 30x5 đen |  | Asia | m |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 | TD-30x10 | Bus 30x10 |  | Asia | m |  | Chỉ hiển thị khi chọn CB tổng tương ứng, quy ước xem sheet busbar; số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 30x10 đỏ |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 30x10 vàng |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 30x10 xanh dương |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
